,Geography,Level,AgeGroup,Median,Mean,People,NAME
1,01 Northland Region,Total,Total,15200,21900,104955,Northland
2,02 Auckland Region,Total,Total,21100,27800,893067,Auckland
3,03 Waikato Region,Total,Total,18100,24700,270672,Waikato
4,04 Bay of Plenty Region,Total,Total,16800,23300,181077,Bay of Plenty
5,05 Gisborne Region,Total,Total,15300,21200,31884,Gisborne
6,06 Hawke's Bay Region,Total,Total,16700,22400,108261,Hawke's Bay
7,07 Taranaki Region,Total,Total,17300,24500,78498,Taranaki
8,08 Manawatu-Wanganui Region,Total,Total,16300,22300,168864,Manawatu-Wanganui
9,09 Wellington Region,Total,Total,22400,29700,330975,Wellington
10,12 West Coast Region,Total,Total,14600,21100,23490,West Coast
11,13 Canterbury Region,Total,Total,17600,23600,383874,Canterbury
12,14 Otago Region,Total,Total,15700,22000,146913,Otago
13,15 Southland Region,Total,Total,17800,24100,70437,Southland
14,17 Nelson Region,Total,Total,17100,22900,32901,Nelson
15,18 Marlborough Region,Total,Total,17000,22500,31266,Marlborough
